Sample	SampleName	Reference	Unmodified	Reads_aligned	Knockout	Reason	Insertions	Deletions	Substitutions
MmMsh2ex12	C6_MmMsh2ex12	MSpretus	0.27462896	17114	YES	Frameshift	0,	5,	0,
HsREV7	E4_HsREV7	HsREV7	95.99974398	31248	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E6_MmMsh2ex12	Mm	50.0	136	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E6_MmMsh2ex12	MSpretus	0.14180916	36669	YES	Frameshift	0,	13,	0,
HsREV7	D11_HsREV7	HsREV7	93.10129603	27237	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F6_MmMsh2ex12	Mm	95.02597769	24829	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F6_MmMsh2ex12	MSpretus	17.09465792	5335	NO	Unmodified	NA	NA	NA
HsREV7	H8_HsREV7	HsREV7	63.8130902	30710	NO	Unmodified	NA	NA	NA
HsREV7	C2_HsREV7	HsREV7	96.25160591	39697	NO	Unmodified	NA	NA	NA
HsREV7	F3_HsREV7	HsREV7	38.37291686	32463	NO	Unmodified	NA	NA	NA
HsREV7	B11_HsREV7	HsREV7	96.16853278	30902	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C12_MmMsh2ex12	Mm	3.83739932	34268	YES	Frameshift	0,	1,	0,
MmMsh2ex12	C12_MmMsh2ex12	MSpretus	62.57242178	863	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C2_MmMsh2ex12	Mm	0.36228023	18770	NO	InFrame	0,	24,	0,
MmMsh2ex12	C2_MmMsh2ex12	MSpretus	0.15022534	11982	NO	InFrame	0,	21,	0,
MmMsh2ex12	H9_MmMsh2ex12	Mm	70.82405345	898	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H9_MmMsh2ex12	MSpretus	1.94846886	35823	YES	Frameshift	2,	0,	0,
MmMsh2ex12	F2_MmMsh2ex12	Mm	41.14583333	192	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F2_MmMsh2ex12	MSpretus	0.34007329	37933	YES	Frameshift	0,	4,	0,
HsREV7	A5_HsREV7	HsREV7	79.85876161	37242	NO	Unmodified	NA	NA	NA
HsREV7	E10_HsREV7	HsREV7	49.06782193	33470	NO	Unmodified	NA	NA	NA
HsREV7	D4_HsREV7	HsREV7	96.49429084	21194	NO	Unmodified	NA	NA	NA
HsREV7	H11_HsREV7	HsREV7	91.34927066	39488	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E2_MmMsh2ex12	Mm	66.79246707	26497	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E2_MmMsh2ex12	MSpretus	43.75	112	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F10_MmMsh2ex12	Mm	99.13685524	19232	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F10_MmMsh2ex12	MSpretus	98.71244635	13747	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B11_MmMsh2ex12	Mm	67.64705882	34	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B11_MmMsh2ex12	MSpretus	0.66225166	151	NO	InsufficientData	NA	NA	NA
MmMsh2ex12	A9_MmMsh2ex12	Mm	51.83823529	272	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A9_MmMsh2ex12	MSpretus	0.2224728	32813	NO	InFrame	6,	0,	0,
MmMsh2ex12	B9_MmMsh2ex12	Mm	46.63885025	12942	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B9_MmMsh2ex12	MSpretus	62.32110041	17957	NO	Unmodified	NA	NA	NA
HsREV7	G3_HsREV7	HsREV7	96.41663972	37116	NO	Unmodified	NA	NA	NA
HsREV7	B2_HsREV7	HsREV7	11.6644783	32749	NO	Unmodified	NA	NA	NA
HsREV7	C10_HsREV7	HsREV7	94.72335825	42546	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D9_MmMsh2ex12	Mm	53.61445783	332	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D9_MmMsh2ex12	MSpretus	0.34302964	36440	NO	InFrame	0,	9,	0,
MmMsh2ex12	G9_MmMsh2ex12	Mm	69.66936879	32937	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G9_MmMsh2ex12	MSpretus	65.56291391	151	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H11_MmMsh2ex12	Mm	62.41197183	1136	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H11_MmMsh2ex12	MSpretus	2.49720809	32236	NO	InFrame	0,	6,	0,
MmMsh2ex12	D12_MmMsh2ex12	Mm	0.35116153	22212	YES	Frameshift	0,	5,	0,
MmMsh2ex12	D12_MmMsh2ex12	MSpretus	0.42406252	16507	YES	Frameshift	0,	5,	0,
MmMsh2ex12	H5_MmMsh2ex12	Mm	0.75237326	19804	YES	Frameshift	0,	5,	0,
MmMsh2ex12	H5_MmMsh2ex12	MSpretus	0.35090182	14249	YES	Frameshift	0,	5,	0,
HsREV7	H7_HsREV7	HsREV7	49.54765528	36145	NO	Unmodified	NA	NA	NA
HsREV7	G4_HsREV7	HsREV7	46.48026694	43455	NO	Unmodified	NA	NA	NA
HsREV7	B5_HsREV7	HsREV7	1.59361464	36709	YES	Frameshift	1,0,	0,1,	0,0,
HsREV7	A2_HsREV7	HsREV7	96.24591948	36760	NO	Unmodified	NA	NA	NA
HsREV7	D3_HsREV7	HsREV7	44.16452442	33065	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G5_MmMsh2ex12	Mm	56.74603175	252	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G5_MmMsh2ex12	MSpretus	0.32749577	36031	NO	InFrame	0,	6,	0,
MmMsh2ex12	D5_MmMsh2ex12	Mm	0.33391478	20065	NO	InFrame	0,0,	9,1,	0,0,
MmMsh2ex12	D5_MmMsh2ex12	MSpretus	0.07314754	13671	NO	InFrame	0,0,	0,5,	2,0,
MmMsh2ex12	B5_MmMsh2ex12	Mm	96.55273152	13692	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B5_MmMsh2ex12	MSpretus	32.55056565	5834	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A5_MmMsh2ex12	Mm	0.1576157	34895	YES	Frameshift	0,	4,	0,
MmMsh2ex12	A5_MmMsh2ex12	MSpretus	0.15037594	665	NO	InsufficientData	NA	NA	NA
MmMsh2ex12	A10_MmMsh2ex12	Mm	0.28942164	20731	NO	InFrame	0,0,	3,4,	0,0,
MmMsh2ex12	A10_MmMsh2ex12	MSpretus	0.18173557	15407	NO	InFrame	0,0,	4,3,	0,0,
MmMsh2ex12	E11_MmMsh2ex12	Mm	21.93149916	17810	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E11_MmMsh2ex12	MSpretus	14.02997502	12010	NO	Unmodified	NA	NA	NA
HsREV7	G12_HsREV7	HsREV7	43.08691161	40662	NO	Unmodified	NA	NA	NA
HsREV7	C5_HsREV7	HsREV7	10.05661903	37090	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H1_MmMsh2ex12	Mm	11.58890436	17232	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H1_MmMsh2ex12	MSpretus	5.84696081	12964	NO	Unmodified	NA	NA	NA
HsREV7	F4_HsREV7	HsREV7	63.34806566	34844	NO	Unmodified	NA	NA	NA
HsREV7	E3_HsREV7	HsREV7	95.98733824	21482	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D1_MmMsh2ex12	Mm	0.72388831	22241	YES	Frameshift	0,	4,	0,
MmMsh2ex12	D1_MmMsh2ex12	MSpretus	0.75690379	16911	YES	Frameshift	0,	4,	0,
MmMsh2ex12	G1_MmMsh2ex12	Mm	98.71980995	22731	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G1_MmMsh2ex12	MSpretus	39.28571429	196	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A1_MmMsh2ex12	Mm	95.632506	24980	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A1_MmMsh2ex12	MSpretus	17.46270906	6637	NO	Unmodified	NA	NA	NA
HsREV7	A12_HsREV7	HsREV7	84.93747241	33985	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B1_MmMsh2ex12	Mm	74.72527473	182	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B1_MmMsh2ex12	MSpretus	0.01708701	29262	YES	Frameshift	0,	41,	0,
MmMsh2ex12	H10_MmMsh2ex12	Mm	0.56095225	21927	NO	InFrame	0,	6,	0,
MmMsh2ex12	H10_MmMsh2ex12	MSpretus	0.13183458	14412	NO	InFrame	0,	6,	0,
HsREV7	A4_HsREV7	HsREV7	95.69471624	30149	NO	Unmodified	NA	NA	NA
HsREV7	D5_HsREV7	HsREV7	2.28483607	9760	YES	Frameshift	1,0,	0,1,	0,0,
HsREV7	E11_HsREV7	HsREV7	48.82806813	13738	NO	Unmodified	NA	NA	NA
HsREV7	H10_HsREV7	HsREV7	95.50284791	23526	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H4_MmMsh2ex12	Mm	96.65644914	24794	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H4_MmMsh2ex12	MSpretus	36.70574887	5288	NO	Unmodified	NA	NA	NA
HsREV7	C11_HsREV7	HsREV7	40.17445384	37947	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G4_MmMsh2ex12	Mm	96.94606354	24362	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G4_MmMsh2ex12	MSpretus	42.45689655	6032	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D4_MmMsh2ex12	Mm	99.33520371	32792	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D4_MmMsh2ex12	MSpretus	98.16653934	2618	NO	Unmodified	NA	NA	NA
HsREV7	H1_HsREV7	HsREV7	95.85676895	35914	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B4_MmMsh2ex12	Mm	68.35443038	79	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B4_MmMsh2ex12	MSpretus	0.52418394	8394	YES	Frameshift	0,	2,	0,
HsREV7	G2_HsREV7	HsREV7	52.28286021	35438	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A4_MmMsh2ex12	Mm	99.15266512	27616	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A4_MmMsh2ex12	MSpretus	98.56630824	1395	NO	Unmodified	NA	NA	NA
HsREV7	B3_HsREV7	HsREV7	36.88539127	45110	NO	Unmodified	NA	NA	NA
HsREV7	E5_HsREV7	HsREV7	59.80913728	36466	NO	Unmodified	NA	NA	NA
HsREV7	D10_HsREV7	HsREV7	93.537868	21773	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A11_MmMsh2ex12	Mm	99.14634146	29520	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A11_MmMsh2ex12	MSpretus	88.54961832	131	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E10_MmMsh2ex12	Mm	0.33441793	22128	YES	Frameshift	0,0,	5,2,	0,0,
MmMsh2ex12	E10_MmMsh2ex12	MSpretus	0.27422303	15316	YES	Frameshift	0,0,	2,5,	0,0,
HsREV7	B10_HsREV7	HsREV7	50.63594632	34201	NO	Unmodified	NA	NA	NA
HsREV7	H9_HsREV7	HsREV7	48.32780418	22306	NO	Unmodified	NA	NA	NA
HsREV7	C3_HsREV7	HsREV7	76.73109061	27526	NO	Unmodified	NA	NA	NA
HsREV7	F2_HsREV7	HsREV7	24.79549123	36551	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C7_MmMsh2ex12	Mm	98.85212089	22302	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C7_MmMsh2ex12	MSpretus	99.04976381	18206	NO	Unmodified	NA	NA	NA
HsREV7	C4_HsREV7	HsREV7	96.6223753	51101	NO	Unmodified	NA	NA	NA
HsREV7	F5_HsREV7	HsREV7	1.79416987	27032	NO	InFrame	0,0,	48,1,	0,0,
MmMsh2ex12	E7_MmMsh2ex12	Mm	96.78624431	19541	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E7_MmMsh2ex12	MSpretus	33.82405745	8355	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F7_MmMsh2ex12	Mm	96.68282483	21042	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F7_MmMsh2ex12	MSpretus	69.14572864	9950	NO	Unmodified	NA	NA	NA
HsREV7	E2_HsREV7	HsREV7	42.61751238	21402	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G12_MmMsh2ex12	Mm	85.35525908	19338	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G12_MmMsh2ex12	MSpretus	87.90914221	14176	NO	Unmodified	NA	NA	NA
HsREV7	H6_HsREV7	HsREV7	95.7035738	33074	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C3_MmMsh2ex12	Mm	0.51077894	13313	NO	InFrame	0,	45,	0,
MmMsh2ex12	C3_MmMsh2ex12	MSpretus	0.43306585	7851	NO	InFrame	0,	3,	0,
HsREV7	F12_HsREV7	HsREV7	0.43460265	14496	YES	Frameshift	0,0,	25,26,	0,0,
HsREV7	G5_HsREV7	HsREV7	52.33538447	41278	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H8_MmMsh2ex12	Mm	54.33962264	265	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H8_MmMsh2ex12	MSpretus	0.46184739	34860	YES	Frameshift	0,	2,	0,
HsREV7	B4_HsREV7	HsREV7	95.87473653	3321	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F3_MmMsh2ex12	Mm	0.12481797	19228	NO	InFrame	0,0,	4,21,	0,0,
MmMsh2ex12	F3_MmMsh2ex12	MSpretus	0.10486707	16211	NO	InFrame	0,0,	21,4,	0,0,
MmMsh2ex12	E3_MmMsh2ex12	Mm	43.21899736	1895	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E3_MmMsh2ex12	MSpretus	0.94801542	28797	YES	Frameshift	0,	4,	0,
MmMsh2ex12	F11_MmMsh2ex12	Mm	34.46327684	531	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F11_MmMsh2ex12	MSpretus	0.31547567	34551	YES	Frameshift	0,	5,	0,
MmMsh2ex12	B10_MmMsh2ex12	Mm	0.4475338	21004	YES	Frameshift	0,0,	1,2,	0,0,
MmMsh2ex12	B10_MmMsh2ex12	MSpretus	0.48068364	16851	YES	Frameshift	0,0,	2,1,	0,0,
MmMsh2ex12	A8_MmMsh2ex12	Mm	0.21465066	33077	YES	Frameshift	0,	22,	0,
MmMsh2ex12	A8_MmMsh2ex12	MSpretus	3.3557047	149	NO	InsufficientData	NA	NA	NA
MmMsh2ex12	B8_MmMsh2ex12	Mm	97.72782562	20553	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B8_MmMsh2ex12	MSpretus	39.50151057	3972	NO	Unmodified	NA	NA	NA
HsREV7	A3_HsREV7	HsREV7	96.21770471	37041	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D8_MmMsh2ex12	Mm	0.69873418	19750	YES	Frameshift	0,	4,	0,
MmMsh2ex12	D8_MmMsh2ex12	MSpretus	0.57312988	13435	YES	Frameshift	0,	4,	0,
HsREV7	D2_HsREV7	HsREV7	96.15656963	25420	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G8_MmMsh2ex12	Mm	0.95422254	23789	YES	Frameshift	0,	11,	0,
MmMsh2ex12	G8_MmMsh2ex12	MSpretus	0.46659597	14145	YES	Frameshift	1,0,	0,11,	0,0,
